"cluster","keyword","target_url","intent","priority"
"service","24-hour emergency plumber Dallas-Fort Worth","/services/24-hour-emergency-plumber","urgent-call","high"
"service","emergency drain cleaning Dallas-Fort Worth","/services/emergency-drain-cleaning","urgent-call","high"
"service","main sewer line clog Dallas-Fort Worth","/services/main-sewer-line-clog","urgent-call","high"
"service","toilet overflow emergency Dallas-Fort Worth","/services/toilet-overflow-emergency","urgent-call","high"
"service","burst pipe emergency Dallas-Fort Worth","/services/burst-pipe-emergency","urgent-call","high"
"service","water heater emergency Dallas-Fort Worth","/services/water-heater-emergency","urgent-call","high"
"service","sewer backup help Dallas-Fort Worth","/services/sewer-backup-help","urgent-call","high"
"service","commercial emergency plumbing Dallas-Fort Worth","/services/commercial-emergency-plumbing","urgent-call","high"
"service","same-day plumber connection Dallas-Fort Worth","/services/same-day-plumber-connection","urgent-call","high"
"service","sink and shower drain backup Dallas-Fort Worth","/services/sink-and-shower-drain-backup","urgent-call","high"
"city","emergency plumber Dallas TX","/cities/dallas","local-call","high"
"city","emergency plumber Fort Worth TX","/cities/fort-worth","local-call","high"
"city","emergency plumber Arlington TX","/cities/arlington","local-call","high"
"city","emergency plumber Plano TX","/cities/plano","local-call","high"
"city","emergency plumber Irving TX","/cities/irving","local-call","high"
"city","emergency plumber Garland TX","/cities/garland","local-call","high"
"city","emergency plumber Frisco TX","/cities/frisco","local-call","high"
"city","emergency plumber McKinney TX","/cities/mckinney","local-call","high"
"city","emergency plumber Carrollton TX","/cities/carrollton","local-call","high"
"city","emergency plumber Denton TX","/cities/denton","local-call","high"
"city","emergency plumber Richardson TX","/cities/richardson","local-call","high"
"city","emergency plumber Mesquite TX","/cities/mesquite","local-call","high"
"city","emergency plumber Grand Prairie TX","/cities/grand-prairie","local-call","high"
"city","emergency plumber Lewisville TX","/cities/lewisville","local-call","high"
"city","emergency plumber Allen TX","/cities/allen","local-call","high"
"city","emergency plumber Grapevine TX","/cities/grapevine","local-call","high"
"cost","emergency plumbing cost dallas","/cost-guides/emergency-plumbing-cost-dallas","cost-research","medium"
"cost","emergency drain cleaning cost dallas","/cost-guides/emergency-drain-cleaning-cost-dallas","cost-research","medium"
"cost","sewer backup cost dallas","/cost-guides/sewer-backup-cost-dallas","cost-research","medium"
"cost","burst pipe repair cost dallas","/cost-guides/burst-pipe-repair-cost-dallas","cost-research","medium"
"cost","water heater emergency cost dallas","/cost-guides/water-heater-emergency-cost-dallas","cost-research","medium"
